coating_thickness_nm,gamma_dose_kGy,photon_energy_MeV,source_type,effective_delta_n,timestamp,delta_lambda_pm
399,1.58E-07,0.662,Cs137,1.83E-11,1/6/2026 10:25,0
399,1.58E-07,0.662,Cs137,1.83E-11,1/6/2026 10:25,118.6392859
399,1.58E-07,0.662,Cs137,1.83E-11,1/6/2026 10:25,0
399,1.58E-07,0.662,Cs137,1.83E-11,1/6/2026 10:25,0
399,1.58E-07,0.662,Cs137,1.83E-11,1/6/2026 10:25,118.6401967
399,1.58E-07,0.662,Cs137,1.83E-11,1/6/2026 10:25,118.6393968
399,1.58E-07,0.662,Cs137,1.83E-11,1/6/2026 10:25,118.6377425
399,1.35E-09,1.33,Co60,1.88E-13,1/6/2026 10:31,118.6377403
399,1.35E-09,1.33,Co60,1.88E-13,1/6/2026 10:31,118.6377403
399,1.38E-07,0.0595,Am241,1.61E-11,1/6/2026 10:33,118.6377422
399,1.38E-07,0.0595,Am241,1.61E-11,1/6/2026 10:33,118.6377422
399,4.09E-09,0.511,Na22,5.81E-13,1/6/2026 10:34,118.6377403
450,5.34E-08,0.662,Cs137,8.35E-12,1/6/2026 10:54,128.6704442
450,5.34E-08,0.662,Cs137,8.35E-12,1/6/2026 10:54,128.6682673
450,5.34E-08,0.662,Cs137,8.35E-12,1/6/2026 10:54,128.6682673
450,5.34E-08,0.662,Cs137,8.35E-12,1/6/2026 10:54,128.6691625
450,5.34E-08,0.662,Cs137,8.35E-12,1/6/2026 10:54,128.66116
450,5.34E-08,0.662,Cs137,8.35E-12,1/6/2026 10:54,128.6703625
450,5.34E-08,0.662,Cs137,8.35E-12,1/6/2026 10:54,128.6703625
450,5.34E-08,0.662,Cs137,8.35E-12,1/6/2026 10:54,128.6703625
450,5.34E-08,0.662,Cs137,8.35E-12,1/6/2026 10:54,128.6703625
450,5.34E-08,0.662,Cs137,8.35E-12,1/6/2026 10:54,128.6703625
450,5.34E-08,0.662,Cs137,8.35E-12,1/6/2026 10:54,128.6703625
450,7.67E-10,1.33,Co60,1.09E-13,1/6/2026 10:59,128.670362
450,7.67E-10,1.33,Co60,1.09E-13,1/6/2026 10:59,128.670362
450,2.03E-07,0.0595,Am241,2.47E-11,1/6/2026 11:01,128.6703641
450,2.03E-07,0.0595,Am241,2.47E-11,1/6/2026 11:01,128.6703641
450,4.69E-09,0.511,Na22,7.03E-13,1/6/2026 12:52,128.6703621
450,4.69E-09,0.511,Na22,7.03E-13,1/6/2026 12:52,128.6703621
500,5.32E-08,0.662,Cs137,8.58E-12,1/6/2026 12:54,135.0703104
500,5.32E-08,0.662,Cs137,8.58E-12,1/6/2026 12:54,135.0727375
500,5.32E-08,0.662,Cs137,8.58E-12,1/6/2026 12:54,135.0587636
500,5.32E-08,0.662,Cs137,8.58E-12,1/6/2026 12:54,135.0727375
500,5.32E-08,0.662,Cs137,8.58E-12,1/6/2026 12:54,135.0727375
550,4.76E-08,0.662,Cs137,8.15E-12,1/6/2026 12:56,136.9428704
550,4.76E-08,0.662,Cs137,8.15E-12,1/6/2026 12:56,0
550,4.76E-08,0.662,Cs137,8.15E-12,1/6/2026 12:56,0
550,4.76E-08,0.662,Cs137,8.15E-12,1/6/2026 12:56,0
550,4.76E-08,0.662,Cs137,8.15E-12,1/6/2026 12:56,0
550,4.76E-08,0.662,Cs137,8.15E-12,1/6/2026 12:56,0
550,4.76E-08,0.662,Cs137,8.15E-12,1/6/2026 12:56,0
550,4.76E-08,0.662,Cs137,8.15E-12,1/6/2026 12:56,136.9338978
550,4.76E-08,0.662,Cs137,8.15E-12,1/6/2026 12:56,136.9312572
550,4.76E-08,0.662,Cs137,8.15E-12,1/6/2026 12:56,136.9312572
550,8.34E-10,1.33,Co60,1.22E-13,1/6/2026 13:02,136.931257
550,8.34E-10,1.33,Co60,1.22E-13,1/6/2026 13:02,136.9364458
550,8.34E-10,1.33,Co60,1.22E-13,1/6/2026 13:02,136.937633
550,8.34E-10,1.33,Co60,1.22E-13,1/6/2026 13:02,136.937633
550,1.15E-07,0.0595,Am241,1.58E-11,1/6/2026 13:04,136.9376337
550,6.86E-09,0.511,Na22,8.07E-13,1/6/2026 13:04,136.9376331
550,0,0.662,Custom,0,1/6/2026 13:05,136.937633
550,4.22E-08,0.662,Custom,6.40E-12,1/6/2026 14:53,136.9376336
550,1.86E-07,0.662,Cs137,2.51E-11,1/6/2026 15:11,136.9376341
650,1.32E-07,0.662,Cs137,1.66E-11,1/6/2026 16:39,0
650,1.32E-07,0.662,Cs137,1.66E-11,1/6/2026 16:39,0
650,1.32E-07,0.662,Cs137,1.66E-11,1/6/2026 16:39,0
650,1.32E-07,0.662,Cs137,1.66E-11,1/6/2026 16:39,0
650,1.32E-07,0.662,Cs137,1.66E-11,1/6/2026 16:39,0
650,1.32E-07,0.662,Cs137,1.66E-11,1/6/2026 16:39,0
650,1.32E-07,0.662,Cs137,1.66E-11,1/6/2026 16:39,95.66250445
650,1.32E-07,0.662,Cs137,1.66E-11,1/6/2026 16:39,95.66081751
650,1.32E-07,0.662,Cs137,1.66E-11,1/6/2026 16:39,95.66250445
650,1.32E-07,0.662,Cs137,1.66E-11,1/6/2026 16:39,95.65745026
650,1.32E-07,0.662,Cs137,1.66E-11,1/6/2026 16:39,95.65919086
650,1.32E-07,0.662,Cs137,1.66E-11,1/6/2026 16:39,95.6586066
650,1.32E-07,0.662,Cs137,1.66E-11,1/6/2026 16:39,95.6586066
650,1.14E-07,1.33,Co60,1.44E-11,1/6/2026 17:48,95.65860574
650,1.14E-07,1.33,Co60,1.44E-11,1/6/2026 17:48,95.65822923
650,1.36E-09,1.33,Co60,1.65E-13,1/6/2026 17:50,95.65822651
650,4.23E-09,0.511,Na22,5.69E-13,1/6/2026 17:51,95.65822659
749,5.53E-09,0.511,Na22,8.48E-13,1/6/2026 17:52,0
749,5.53E-09,0.511,Na22,8.48E-13,1/6/2026 17:52,111.1368265
749,5.53E-09,0.511,Na22,8.48E-13,1/6/2026 17:52,111.1568015
749,5.53E-09,0.511,Na22,8.48E-13,1/6/2026 17:52,112.592717
749,5.53E-09,0.511,Na22,8.48E-13,1/6/2026 17:52,111.1543476
749,5.53E-09,0.511,Na22,8.48E-13,1/6/2026 17:52,111.1568015
749,5.53E-09,0.511,Na22,8.48E-13,1/6/2026 17:52,111.1568015
749,9.26E-09,0.662,Cs137,1.66E-12,1/6/2026 17:55,111.1568015
749,2.05E-09,1.33,Co60,2.83E-13,1/6/2026 17:57,111.1568014
749,2.05E-09,1.33,Co60,2.83E-13,1/6/2026 17:58,111.1568014
850,1.74E-09,1.33,Co60,2.59E-13,1/6/2026 18:00,0
850,1.74E-09,1.33,Co60,2.59E-13,1/6/2026 18:00,126.3741433
850,1.74E-09,1.33,Co60,2.59E-13,1/6/2026 18:00,126.3780469
850,1.03E-08,0.662,Cs137,1.42E-12,1/6/2026 18:08,126.378047
850,9.03E-08,0.0595,Am241,1.45E-11,1/6/2026 18:09,126.3780477
850,7.93E-09,0.511,Na22,9.91E-13,1/6/2026 18:10,126.378047
850,7.93E-09,0.511,Na22,9.91E-13,1/6/2026 18:10,126.378047
900,6.68E-08,0.511,Na22,1.03E-11,1/6/2026 18:11,125.5763293
900,6.68E-08,0.511,Na22,1.03E-11,1/6/2026 18:11,0
900,6.68E-08,0.511,Na22,1.03E-11,1/6/2026 18:11,125.5824676
900,6.68E-08,0.511,Na22,1.03E-11,1/6/2026 18:11,125.5824676
950,8.32E-09,0.511,Na22,1.06E-12,1/6/2026 18:13,119.2600099
950,8.32E-09,0.511,Na22,1.06E-12,1/6/2026 18:13,119.2432326
950,8.32E-09,0.511,Na22,1.06E-12,1/6/2026 18:13,119.2555941
950,8.32E-09,0.511,Na22,1.06E-12,1/6/2026 18:13,119.2555941
950,8.32E-09,0.511,Na22,1.06E-12,1/6/2026 18:13,119.2555941
950,2.12E-09,1.33,Co60,3.78E-13,1/6/2026 18:14,119.2555939
950,1.06E-08,0.662,Cs137,1.36E-12,1/6/2026 18:15,119.2555941
950,1.51E-07,0.0595,Am241,2.21E-11,1/6/2026 18:17,119.2555963
950,1.51E-07,0.0595,Am241,2.21E-11,1/6/2026 18:17,119.2555963
950,7.86E-07,0.0595,Am241,1.32E-10,1/6/2026 18:25,119.2556048
1000,1.37E-07,0.0595,Am241,1.90E-11,1/6/2026 18:26,107.6756226
1000,1.37E-07,0.0595,Am241,1.90E-11,1/6/2026 18:26,0
1000,1.37E-07,0.0595,Am241,1.90E-11,1/6/2026 18:26,0
1000,1.37E-07,0.0595,Am241,1.90E-11,1/6/2026 18:26,0
1000,1.37E-07,0.0595,Am241,1.90E-11,1/6/2026 18:26,87.13447235
1000,1.37E-07,0.0595,Am241,1.90E-11,1/6/2026 18:26,0
1000,1.37E-07,0.0595,Am241,1.90E-11,1/6/2026 18:26,0
1000,1.37E-07,0.0595,Am241,1.90E-11,1/6/2026 18:26,0
1000,1.37E-07,0.0595,Am241,1.90E-11,1/6/2026 18:26,0
1000,1.37E-07,0.0595,Am241,1.90E-11,1/6/2026 18:26,0
1000,1.37E-07,0.0595,Am241,1.90E-11,1/6/2026 18:26,87.14349011
1000,1.37E-07,0.0595,Am241,1.90E-11,1/6/2026 18:26,87.14700589
1000,1.37E-07,0.0595,Am241,1.90E-11,1/6/2026 18:26,87.14700589
1000,1.37E-07,0.0595,Am241,1.90E-11,1/6/2026 18:26,87.14700589
1000,9.31E-09,0.662,Cs137,1.18E-12,1/6/2026 18:30,87.14700195
1000,2.06E-09,1.33,Co60,3.62E-13,1/6/2026 18:30,87.14700172
1000,1.37E-07,0.0595,Am241,1.90E-11,1/6/2026 18:31,87.14700589
1050,1.25E-07,0.0595,Am241,1.79E-11,1/6/2026 18:32,98.36010547
1050,1.25E-07,0.0595,Am241,1.79E-11,1/6/2026 18:32,98.35746904
1050,1.25E-07,0.0595,Am241,1.79E-11,1/6/2026 18:32,0
1050,1.25E-07,0.0595,Am241,1.79E-11,1/6/2026 18:32,0
1050,1.25E-07,0.0595,Am241,1.79E-11,1/6/2026 18:32,94.87640396
1050,1.25E-07,0.0595,Am241,1.79E-11,1/6/2026 18:32,0
1050,1.25E-07,0.0595,Am241,1.79E-11,1/6/2026 18:32,0
1050,1.25E-07,0.0595,Am241,1.79E-11,1/6/2026 18:32,0
1050,1.25E-07,0.0595,Am241,1.79E-11,1/6/2026 18:32,98.3605711
1050,1.25E-07,0.0595,Am241,1.79E-11,1/6/2026 18:32,98.35695966
1050,1.25E-07,0.0595,Am241,1.79E-11,1/6/2026 18:32,98.35695966
1050,1.25E-07,0.0595,Am241,1.79E-11,1/6/2026 18:32,98.35695966
1050,1.23E-08,0.662,Cs137,1.62E-12,1/6/2026 18:35,98.35695681
1050,3.10E-08,1.33,Co60,1.05E-11,1/6/2026 18:35,98.35695703
1050,1.20E-07,1.33,Co60,1.53E-11,1/6/2026 18:41,98.35695984
1050,1.17E-07,0.511,Na22,1.65E-11,1/6/2026 19:13,98.35696008
200,6.30E-08,0.662,Cs137,6.56E-12,1/6/2026 20:39,149.3518739
200,6.30E-08,0.662,Cs137,6.56E-12,1/6/2026 20:39,149.3518739
200,6.30E-08,0.662,Cs137,6.56E-12,1/6/2026 20:39,0
200,6.30E-08,0.662,Cs137,6.56E-12,1/6/2026 20:39,0
200,6.30E-08,0.662,Cs137,6.56E-12,1/6/2026 20:39,0
200,6.30E-08,0.662,Cs137,6.56E-12,1/6/2026 20:39,149.3459858
200,6.30E-08,0.662,Cs137,6.56E-12,1/6/2026 20:39,149.3485163
200,6.30E-08,0.662,Cs137,6.56E-12,1/6/2026 20:39,149.3460201
200,2.74E-08,1.33,Co60,3.43E-12,1/6/2026 21:02,149.34602
1100,9.86E-08,1.33,Co60,1.41E-11,1/6/2026 21:14,114.8331938
1100,9.86E-08,1.33,Co60,1.41E-11,1/6/2026 21:14,0
1100,9.86E-08,1.33,Co60,1.41E-11,1/6/2026 21:14,0
1100,9.86E-08,1.33,Co60,1.41E-11,1/6/2026 21:14,0
1100,9.86E-08,1.33,Co60,1.41E-11,1/6/2026 21:15,0
1100,9.86E-08,1.33,Co60,1.41E-11,1/6/2026 21:15,0
1100,9.86E-08,1.33,Co60,1.41E-11,1/6/2026 21:15,0
1100,9.86E-08,1.33,Co60,1.41E-11,1/6/2026 21:15,114.8332393
1100,9.86E-08,1.33,Co60,1.41E-11,1/6/2026 21:15,114.8332227
1100,9.86E-08,1.33,Co60,1.41E-11,1/6/2026 21:15,114.8332005
1100,1.25E-07,0.662,Cs137,1.71E-11,1/6/2026 21:20,114.833201
1100,1.22E-07,0.511,Na22,1.77E-11,1/6/2026 21:25,114.8332011
1100,1.22E-07,0.511,Na22,1.77E-11,1/6/2026 21:25,114.8332011
150,7.12E-07,0.511,Na22,0.156885142,1/6/2026 21:42,145.7974163
1150,1.48E-07,0.511,Na22,2.20E-11,1/6/2026 21:59,116.1928721
1150,1.48E-07,0.511,Na22,2.20E-11,1/6/2026 21:59,116.1930687
1150,1.48E-07,0.511,Na22,2.20E-11,1/6/2026 21:59,116.1930687
1150,1.48E-07,0.511,Na22,2.20E-11,1/6/2026 21:59,116.1930687
1150,2.06E-08,0.662,Cs137,3.57E-12,1/6/2026 22:01,116.1930656
2150,1.49E-08,0.662,Cs137,2.30E-12,1/6/2026 22:02,97.43697417
2150,1.49E-08,0.662,Cs137,2.30E-12,1/6/2026 22:02,97.43677015
2150,1.49E-08,0.662,Cs137,2.30E-12,1/6/2026 22:03,97.43928938
2150,1.49E-08,0.662,Cs137,2.30E-12,1/6/2026 22:03,97.43928938
2150,5.28E-09,1.33,Co60,7.55E-13,1/6/2026 22:04,97.43928901
2150,1.07E-07,0.0595,Am241,2.11E-11,1/6/2026 22:05,97.43929135
2150,1.07E-08,0.511,Na22,1.47E-12,1/6/2026 22:06,97.43928919
2150,1.07E-08,0.511,Na22,1.47E-12,1/6/2026 22:06,97.43928919
2150,0,0.662,Custom,0,1/6/2026 22:06,97.43928882
2150,1.11E-07,0.662,Cs137,1.54E-11,1/6/2026 22:18,97.43929266
3150,9.44E-08,1.33,Co60,1.38E-11,1/6/2026 22:38,82.86869862
3150,9.44E-08,1.33,Co60,1.38E-11,1/6/2026 22:38,0
3150,9.44E-08,1.33,Co60,1.38E-11,1/6/2026 22:38,46.72817686
3150,9.44E-08,1.33,Co60,1.38E-11,1/6/2026 22:38,0
3150,9.44E-08,1.33,Co60,1.38E-11,1/6/2026 22:38,82.84205417
