coating_thickness_nm,gamma_dose_kGy,photon_energy_MeV,source_type,effective_delta_n,timestamp,delta_lambda_pm
250,9.62E-09,0.662,Cs137,1.27E-12,2026-01-10T11:01:46.714659,14.89597374
250,9.62E-09,0.662,Cs137,1.27E-12,2026-01-10T11:01:46.714659,14.89974702
250,9.62E-09,0.662,Cs137,1.27E-12,2026-01-10T11:01:46.714659,14.89974702
250,2.18E-10,1.33,Co60,4.61E-14,2026-01-10T11:04:33.758778,14.89974698
250,1.61E-08,0.0595,Am241,2.30E-12,2026-01-10T11:06:09.854835,14.89974706
250,6.19E-09,0.511,Na22,7.72E-13,2026-01-10T11:07:58.457605,14.899747
300,1.07E-08,0.662,Cs137,1.33E-12,2026-01-10T11:13:02.890297,14.14330551
300,1.07E-08,0.662,Cs137,1.33E-12,2026-01-10T11:13:02.890297,14.15199851
300,1.14E-09,1.33,Co60,2.61E-13,2026-01-10T11:22:30.756949,14.15199842
300,1.49E-08,0.0595,Am241,2.80E-12,2026-01-10T11:23:19.554545,14.15199859
300,4.28E-09,0.511,Na22,7.15E-13,2026-01-10T11:28:32.205570,14.15199846
350,5.01E-09,0.511,Na22,8.50E-13,2026-01-10T11:30:53.336746,12.42460979
350,5.01E-09,0.511,Na22,8.50E-13,2026-01-10T11:30:53.336746,11.06339093
350,5.01E-09,0.662,Cs137,8.50E-13,2026-01-10T11:33:36.162055,12.42851158
350,2.87E-10,1.33,Co60,3.84E-14,2026-01-10T11:34:50.500344,12.42851146
350,9.58E-09,0.0595,Am241,1.60E-12,2026-01-10T11:35:27.805390,12.42851169
400,1.01E-08,0.0595,Am241,1.50E-12,2026-01-10T11:36:39.777654,12.53006166
400,1.01E-08,0.0595,Am241,1.50E-12,2026-01-10T11:36:39.777654,12.53179383
400,1.01E-08,0.0595,Am241,1.50E-12,2026-01-10T11:36:39.777654,12.53181867
400,1.01E-08,0.0595,Am241,1.50E-12,2026-01-10T11:36:39.777654,12.53181867
400,1.01E-08,0.0595,Am241,1.50E-12,2026-01-10T11:36:39.777654,12.53181867
400,1.27E-08,0.662,Cs137,1.61E-12,2026-01-10T11:42:04.640286,12.53181868
400,3.76E-10,1.33,Co60,4.81E-14,2026-01-10T11:48:50.055460,12.53181851
400,1.01E-08,0.0595,Am241,1.50E-12,2026-01-10T11:49:59.869762,12.53181867
400,3.70E-08,0.511,Na22,1.01E-11,2026-01-10T11:50:42.122860,12.5318188
450,1.07E-08,0.662,Cs137,1.39E-12,2026-01-10T11:54:40.827473,13.56659491
450,1.07E-08,0.662,Cs137,1.39E-12,2026-01-10T11:54:40.827473,13.56663412
450,3.38E-10,1.33,Co60,4.34E-14,2026-01-10T11:58:48.511168,13.56663402
450,9.98E-09,0.0595,Am241,1.53E-12,2026-01-10T12:01:25.069831,13.56663413
450,6.99E-09,0.511,Na22,8.98E-13,2026-01-10T12:02:13.513948,13.56663409
500,4.86E-09,0.511,Na22,8.04E-13,2026-01-10T12:04:35.618149,13.99417902
500,4.86E-09,0.511,Na22,8.04E-13,2026-01-10T12:04:35.618149,13.99084648
500,4.86E-09,0.511,Na22,8.04E-13,2026-01-10T12:04:35.618149,13.99015043
500,4.86E-09,0.511,Na22,8.04E-13,2026-01-10T12:04:35.618149,13.99415402
