Volume,X,Y,Z,Edep_keV,StepLength_nm,Edep_J
Cladding_PV,13.1467,-13.9782,-2417.62,2.1389,8878.05,3.4265178e-16
Cladding_PV,13.0176,-11.0601,-2409.4,2.19424,7336.77,3.51517248e-16
Cladding_PV,13.7932,-7.08586,-2403.41,2.57654,7195.44,4.1276170799999997e-16
Cladding_PV,17.2192,-3.73565,-2398.19,3.02694,8323.82,4.84915788e-16
Cladding_PV,22.4466,-0.339591,-2392.9,4.57824,11352.6,7.33434048e-16
Cladding_PV,31.2534,6.26466,-2391.73,4.97359,17286.5,7.9676911799999995e-16
Cladding_PV,45.8564,11.2506,-2385.59,8.35928,16589.5,1.339156656e-15
Cladding_PV,56.2776,14.6377,-2374.02,27.3091,9931.87,4.37491782e-15
Cladding_PV,63.9629,12.5219,-2368.55,23.8547,7966.15,3.82152294e-15
Cladding_PV,70.8733,10.7335,-2365.61,1.79763,3624.64,2.87980326e-16
TiO2_Coating_PV,74.243,10.629,-2366.38,0.129353,504.922,2.07223506e-17
Gd2O3_Coating_PV,74.5264,10.7659,-2366.76,0.121968,360.1,1.9539273599999998e-17
World,74.7152,10.8573,-2367.03,2.67141,15233300.0,4.2795988199999997e-16
World,-24.6866,71.35,-1869.56,0.744606,12336700.0,1.192858812e-16
Cladding_PV,56.6718,-23.8573,-2496.32,6.24388,22970.2,1.000269576e-15
Cladding_PV,41.1173,-39.661,-2491.7,26.9332,19965.5,4.31469864e-15
Cladding_PV,26.8885,-50.113,-2482.92,9.00725,20802.9,1.44296145e-15
Cladding_PV,10.8411,-62.5947,-2480.31,4.62813,21649.6,7.414264259999999e-16
Cladding_PV,-7.10051,-73.9527,-2478.61,0.065918,915.868,1.05600636e-17
TiO2_Coating_PV,-7.70257,-74.6034,-2478.83,0.176543,373.992,2.82821886e-17
Gd2O3_Coating_PV,-7.93232,-74.881,-2478.93,0.594195,260.848,9.5190039e-17
World,-8.09975,-75.0643,-2479.01,1.82707,11806600.0,2.92696614e-16
World,-7324.48,-8863.65,-5250.25,0.516863,1379370.0,8.28014526e-17
World,-7324.48,-8863.65,-5250.25,1.26242,80028.9,2.0223968400000002e-16
Cladding_PV,33.7806,-10.0698,-2478.42,8.67135,21022.8,1.38915027e-15
Cladding_PV,51.482,-20.1961,-2482.01,9.20755,17031.9,1.4750495099999999e-15
Cladding_PV,65.4622,-29.5363,-2481.93,0.922062,3259.79,1.477143324e-16
