Volume,X,Y,Z,Edep_keV,StepLength_nm,Edep_J
Cladding_PV,13.1467,-13.9782,-2417.62,2.1389,8878.05,3.4265178e-16
Cladding_PV,13.0176,-11.0601,-2409.4,2.19424,7336.77,3.51517248e-16
Cladding_PV,13.7932,-7.08586,-2403.41,2.57654,7195.44,4.1276170799999997e-16
Cladding_PV,17.2192,-3.73565,-2398.19,3.02694,8323.82,4.84915788e-16
Cladding_PV,22.4466,-0.339591,-2392.9,4.57824,11352.6,7.33434048e-16
Cladding_PV,31.2534,6.26466,-2391.73,4.97359,17286.5,7.9676911799999995e-16
Cladding_PV,45.8564,11.2506,-2385.59,8.35928,16589.5,1.339156656e-15
Cladding_PV,56.2776,14.6377,-2374.02,27.3091,9931.87,4.37491782e-15
Cladding_PV,63.9629,12.5219,-2368.55,23.8547,7966.15,3.82152294e-15
Cladding_PV,70.8733,10.7335,-2365.61,1.79763,3624.64,2.87980326e-16
World,74.243,10.629,-2366.38,1.95669,10408700.0,3.13461738e-16
Cladding_PV,56.6718,-23.8573,-2496.32,6.24388,22970.2,1.000269576e-15
Cladding_PV,41.1173,-39.661,-2491.7,26.9332,19965.5,4.31469864e-15
Cladding_PV,26.8885,-50.113,-2482.92,9.00725,20802.9,1.44296145e-15
Cladding_PV,10.8411,-62.5947,-2480.31,4.62813,21649.6,7.414264259999999e-16
Cladding_PV,-7.10051,-73.9527,-2478.61,0.065918,915.868,1.05600636e-17
World,-7.70257,-74.6034,-2478.83,1.69024,13462300.0,2.70776448e-16
Cladding_PV,33.7806,-10.0698,-2478.42,8.67135,21022.8,1.38915027e-15
Cladding_PV,51.482,-20.1961,-2482.01,9.20755,17031.9,1.4750495099999999e-15
Cladding_PV,65.4622,-29.5363,-2481.93,0.922062,3259.79,1.477143324e-16
World,68.2232,-31.1543,-2481.41,1.33161,13238600.0,2.1332392199999998e-16
Cladding_PV,-26.8464,-5.98027,-2439.15,39.2952,15209.1,6.29509104e-15
World,1335.08,-1674.0,-2366.85,2.21197,10197600.0,3.5435759399999997e-16
Cladding_PV,26.8869,47.4733,-2495.79,3.96895,2416.34,6.3582579e-16
Cladding_PV,26.4725,49.1982,-2494.37,8.30678,3518.24,1.330746156e-15
Cladding_PV,25.9504,52.3147,-2494.49,25.8376,7324.07,4.13918352e-15
Cladding_PV,-43.2871,49.0402,-2493.53,6.10742,10987.6,9.78408684e-16
World,-49.3158,56.5062,-2488.52,2.45613,12697200.0,3.9347202599999996e-16
